Ticker,Industry,Market Cap,Price,Change,Volume
SNPS,Semiconductor Equipment & Materials,"5,434.43",œ35.47,0.20%,"138,160.00"
SOFO,Application Software,41.84,œ10.69,-0.09%,388.00
SPRT,Internet Software & Services,232.90,œ4.76,2.45%,"14,775.00"
SPSC,Application Software,829.63,œ55.51,-0.41%,"3,064.00"
SSNC,Business Software & Services,"2,639.64",œ33.42,0.45%,"56,934.00"
SUPX,Semiconductor - Integrated Circuits,272.86,œ23.98,1.22%,"16,040.00"
SYMC,Security Software & Services,"15,550.92",œ22.35,-0.40%,"1,908,331.00"
SYMM,Communication Equipment,181.04,œ4.48,0.22%,"4,912.00"
T,Telecom Services - Domestic,"195,876.88",œ35.53,0.00%,"6,081,350.00"
TDS,Wireless Communications,"2,579.72",œ23.51,-1.34%,"74,171.00"
TIBX,Business Software & Services,"3,489.64",œ21.65,-0.18%,"597,072.00"
TNAV,Scientific & Technical Instruments,211.73,œ5.40,1.69%,"45,681.00"
TNGO,Business Software & Services,580.48,œ15.35,-0.71%,"65,955.00"
TRAK,Internet Software & Services,"1,564.59",œ36.09,-0.41%,"71,864.00"
TRIP,Internet Information Providers,"8,616.68",œ60.41,0.30%,"839,036.00"
TRMB,Scientific & Technical Instruments,"6,724.02",œ26.62,1.02%,"325,955.00"
TTGT,Internet Information Providers,181.30,œ4.54,0.22%,"1,900.00"
TWTC,Telecom Services - Domestic,"4,233.77",œ28.60,0.76%,"472,268.00"
TXN,Semiconductor - Broad Line,"38,888.91",œ35.49,1.02%,"1,765,961.00"
TYL,Technical & System Software,"2,197.27",œ70.41,0.63%,"63,024.00"
TYPE,Application Software,949.47,œ25.76,0.66%,"41,104.00"
UBNT,Wireless Communications,"1,555.63",œ18.38,2.80%,"115,047.00"
UCTT,Semiconductor - Specialized,170.67,œ6.10,0.00%,"20,966.00"
ULTI,Internet Software & Services,"3,290.80",œ120.96,0.99%,"36,034.00"
USM,Wireless Communications,"2,923.43",œ34.68,-0.54%,"17,955.00"
VDSI,Security Software & Services,333.10,œ8.65,0.46%,"15,908.00"
VG,Diversified Communication Services,596.70,œ2.80,0.72%,"222,457.00"
VLTR,Semiconductor - Integrated Circuits,364.86,œ14.67,1.17%,"14,647.00"
VMW,Technical & System Software,"28,077.13",œ65.84,0.37%,"510,981.00"
VRNT,Business Software & Services,"1,800.24",œ34.70,0.17%,"77,242.00"
VZ,Telecom Services - Domestic,"145,105.58",œ51.14,1.01%,"3,157,756.00"
WDC,Data Storage Devices,"15,100.02",œ63.44,0.42%,"495,628.00"
WIFI,Information Technology Services,220.70,œ6.20,0.00%,"28,502.00"
WIRE,Diversified Electronics,716.63,œ34.88,0.58%,"16,746.00"
XLNX,Semiconductor - Integrated Circuits,"10,421.13",œ39.96,0.78%,"524,270.00"
XXIA,Internet Software & Services,"1,366.59",œ17.95,-1.86%,"121,344.00"
Z,Internet Software & Services,"1,942.45",œ57.01,-0.89%,"68,108.00"
